danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.786,0.777,0,-5.666,1,0.114,0.347,0.0,0.101,0.78,159.934,179120,4
0.649,0.7,9,-8.173,0,0.193,0.191,0.0633,0.339,0.727,159.846,167507,5
0.69,0.628,7,-12.813,1,0.048,0.498,0.0695,0.108,0.445,117.003,223925,4
0.643,0.619,9,-9.514,0,0.0357,0.0128,0.415,0.351,0.14,128.785,305333,4
0.74,0.622,11,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,104.966,222707,4
0.789,0.647,8,-7.615,0,0.175,0.384,0.0,0.1,0.249,140.053,211307,4
0.265,0.719,8,-6.477,0,0.0465,0.382,0.0,0.0928,0.425,80.328,185173,4
0.551,0.704,1,-7.425,0,0.0531,0.016,0.000847,0.162,0.653,130.03,196173,4
0.779,0.659,1,-5.341,0,0.13,0.0885,0.0,0.0918,0.133,139.97,208358,4
0.745,0.656,11,-6.829,0,0.203,0.0604,0.0,0.11,0.405,137.997,201333,4
0.558,0.583,4,-9.317,0,0.204,0.021,4.57e-05,0.369,0.308,129.986,202360,4
0.563,0.932,8,-4.987,0,0.285,0.0636,0.0,0.116,0.83,84.948,150893,4
0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4
0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4
0.531,0.838,8,-5.382,0,0.0306,0.000707,0.00108,0.49,0.33,108.991,203307,4
0.654,0.452,7,-6.36,1,0.0439,0.17,0.0,0.114,0.532,138.034,186749,4
0.497,0.77,6,-4.298,1,0.0757,0.0472,0.0,0.102,0.47,167.892,213640,4
0.805,0.486,0,-10.27,0,0.163,0.193,0.000206,0.181,0.494,112.003,263170,4
0.698,0.693,6,-8.218,0,0.0329,0.0567,0.0161,0.129,0.608,121.859,270000,4
0.819,0.637,1,-6.206,0,0.127,0.314,2.75e-06,0.143,0.868,88.0,213280,4
0.821,0.54,3,-7.001,1,0.0683,0.203,0.000657,0.102,0.587,114.021,250400,4
0.504,0.895,0,-4.436,1,0.0394,0.00432,0.0575,0.0857,0.532,173.122,229104,4
0.827,0.625,11,-5.996,0,0.269,0.331,6.23e-06,0.109,0.587,132.068,163987,4
0.505,0.66,8,-4.804,1,0.0349,0.000651,0.342,0.0971,0.254,177.951,111808,4
0.606,0.924,11,-4.531,0,0.0349,0.00216,3.3e-06,0.24,0.965,144.998,206840,4
0.455,0.867,9,-3.445,0,0.151,0.00428,5.01e-05,0.0998,0.29,185.977,213520,4
0.643,0.752,2,-6.536,0,0.039,0.234,0.192,0.821,0.582,96.001,240053,4
0.769,0.641,9,-8.408,0,0.0505,0.166,0.507,0.0983,0.877,149.003,224747,4
0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4
0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4
