danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,219440,4
0.945,0.676,1,-6.6,1,0.207,0.172,0.00036,0.322,0.631,123.109,141893,4
0.891,0.836,10,-4.663,0,0.143,0.0339,0.0,0.237,0.315,122.034,159400,4
0.636,0.497,0,-6.876,0,0.0313,0.0312,0.00148,0.108,0.148,122.027,272547,4
0.816,0.677,11,-4.067,0,0.19,0.357,0.0,0.165,0.533,78.967,172747,4
0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
0.848,0.768,6,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,118.961,176767,4
0.901,0.939,6,-2.762,1,0.274,0.117,0.0,0.0643,0.805,142.948,356347,4
0.685,0.706,11,-7.02,0,0.0545,0.0894,0.0287,0.0986,0.64,155.989,172293,4
0.558,0.583,4,-9.317,0,0.204,0.021,4.57e-05,0.369,0.308,129.986,202360,4
0.715,0.595,7,-8.578,0,0.0464,0.64,0.00586,0.122,0.775,139.952,208040,4
0.852,0.447,7,-12.241,0,0.539,0.291,0.0214,0.105,0.36,160.065,182533,4
0.851,0.62,2,-7.621,1,0.206,0.195,1.15e-05,0.228,0.276,122.003,160667,4
0.813,0.566,1,-9.307,0,0.0501,0.526,0.00808,0.106,0.56,122.974,165529,4
0.771,0.543,10,-5.776,0,0.103,0.596,0.0,0.119,0.504,122.891,202147,4
0.688,0.5,2,-7.411,1,0.138,0.102,0.0,0.355,0.418,127.906,189608,3
0.793,0.488,2,-5.807,0,0.0462,0.428,0.0,0.0823,0.5,133.957,184005,4
0.749,0.461,10,-2.961,0,0.0416,0.0516,6.24e-06,0.0738,0.42,139.02,204887,4
0.917,0.651,2,-7.104,0,0.3,0.142,1.4e-05,0.115,0.701,145.01,146898,4
0.832,0.549,1,-8.259,0,0.0602,0.168,0.0,0.11,0.384,140.045,181496,4
0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
0.6,0.718,11,-7.154,1,0.0413,0.358,5.61e-05,0.0743,0.232,90.0,219333,4
0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,218883,4
0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4
0.963,0.449,1,-8.701,0,0.323,0.185,0.00616,0.18,0.337,108.043,207827,4
0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,4
0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4
0.619,0.45,7,-11.965,0,0.515,0.433,0.0,0.513,0.41,179.755,194000,4
0.755,0.614,2,-9.481,1,0.0548,0.542,0.00879,0.0937,0.148,124.02,238067,4
0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,213267,4
0.642,0.725,8,-5.804,1,0.0496,0.279,0.868,0.117,0.493,130.069,187467,4
0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858,4
0.753,0.444,9,-10.346,0,0.139,0.489,0.0,0.109,0.212,80.071,206413,4
0.781,0.523,5,-8.21,0,0.0366,0.104,1.73e-06,0.413,0.584,128.055,190800,4
0.581,0.585,1,-1.87,1,0.369,0.27,6.48e-05,0.179,0.63,67.443,209829,3
0.672,0.464,6,-5.624,0,0.037,0.43,0.0,0.284,0.271,92.069,200742,4
0.564,0.723,2,-6.983,0,0.0702,0.000741,0.672,0.543,0.466,121.97,180843,4
0.741,0.827,10,-6.343,0,0.549,0.451,0.0,0.292,0.418,158.317,187933,4
0.719,0.768,11,-5.658,0,0.19,0.345,0.0,0.104,0.0979,137.887,269185,4
0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4
0.639,0.268,3,-9.054,1,0.0391,0.81,0.0,0.0977,0.444,81.7,179933,4
0.482,0.645,8,-7.959,0,0.0556,0.434,0.0,0.0996,0.457,104.854,190347,4
0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
0.518,0.729,11,-7.193,0,0.0452,0.183,0.0,0.0643,0.343,156.879,240013,4
0.578,0.43,10,-6.396,1,0.0282,0.608,2.67e-06,0.117,0.156,136.824,243187,4
0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4
0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
0.536,0.752,1,-6.556,1,0.0586,0.524,0.0,0.196,0.939,76.217,213799,4
0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,4
0.6,0.759,10,-5.385,0,0.178,0.146,0.0,0.11,0.603,170.03,256716,4
0.588,0.796,0,-3.945,0,0.262,0.386,0.0,0.198,0.546,192.128,206853,4
0.745,0.537,10,-7.335,0,0.0503,0.52,0.0,0.103,0.68,99.987,231520,4
0.658,0.669,1,-4.851,1,0.0441,0.23,0.000442,0.1,0.575,119.923,182325,4
