danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.699,0.696,11,-10.376,0,0.399,0.031,0.0,0.0689,0.0399,95.928,404347,4
0.695,0.668,5,-6.419,1,0.467,0.117,0.0,0.11,0.443,104.594,205093,4
0.521,0.674,2,-6.375,1,0.276,0.0121,0.0,0.0786,0.102,127.954,186027,4
0.544,0.894,4,-3.081,0,0.441,0.0467,0.0,0.227,0.362,171.828,341866,4
0.666,0.79,7,-6.237,1,0.262,0.0255,0.0,0.306,0.298,91.799,255733,4
0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,259102,4
0.765,0.582,1,-10.075,0,0.0415,0.768,0.903,0.111,0.262,126.477,295679,4
0.607,0.701,2,-6.48,0,0.155,0.0278,0.0,0.112,0.645,109.286,205120,4
0.769,0.613,7,-9.593,1,0.179,0.331,1.51e-06,0.119,0.885,98.049,222920,4
0.434,0.912,9,-5.148,1,0.0451,0.0191,0.278,0.326,0.315,119.729,183507,4
0.566,0.642,1,-6.738,0,0.0328,0.0442,1.53e-06,0.118,0.253,111.989,264773,4
0.647,0.534,4,-5.439,0,0.0279,0.011,0.000249,0.104,0.673,96.98,187720,4
0.567,0.37,0,-8.364,0,0.0462,0.0754,0.000516,0.0833,0.0611,127.926,271935,4
0.805,0.812,11,-4.926,1,0.177,0.0381,2.46e-06,0.0767,0.342,90.002,202920,4
0.582,0.907,2,-4.374,1,0.162,0.0826,0.239,0.0926,0.553,170.01,137000,4
0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4
0.621,0.916,6,-2.175,1,0.305,0.039,0.0383,0.763,0.472,99.979,278280,4
0.701,0.728,2,-4.554,1,0.255,0.00971,0.00115,0.361,0.0591,171.388,326467,4
0.471,0.509,0,-10.9,0,0.0367,0.678,0.936,0.175,0.0595,131.996,299987,4
0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,366213,4
0.42,0.691,9,-8.56,1,0.0501,0.31,0.0427,0.109,0.0383,115.326,301733,4
0.149,0.885,6,-5.437,1,0.0429,0.101,0.00922,0.247,0.181,160.03,252867,4
0.166,0.723,11,-6.845,1,0.0472,0.0153,0.00265,0.214,0.0756,170.957,380760,4
0.561,0.897,8,-2.491,0,0.11,0.0665,0.00727,0.081,0.252,124.831,163521,4
0.745,0.466,4,-7.62,0,0.0864,0.00666,0.35,0.272,0.303,123.889,231920,4
0.695,0.866,7,-4.518,1,0.0607,0.182,0.0,0.156,0.898,174.085,155573,4
0.755,0.891,7,-5.516,1,0.174,0.273,0.0412,0.12,0.515,160.021,192000,4
0.494,0.0964,2,-20.276,0,0.0282,0.987,1.02e-06,0.0835,0.788,94.901,137040,4
0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,140733,4
0.221,0.0879,7,-16.996,1,0.0381,0.155,0.698,0.0869,0.0401,126.622,275547,4
0.806,0.525,4,-8.806,0,0.0383,0.00869,0.000721,0.114,0.713,119.986,186000,4
0.705,0.403,0,-9.7,1,0.0438,0.172,0.00201,0.615,0.155,114.992,470093,4
0.731,0.91,7,-2.788,1,0.356,0.000213,0.0,0.194,0.719,100.014,268800,4
0.634,0.787,6,-5.081,1,0.0801,2.26e-05,0.0476,0.124,0.523,95.015,235243,4
0.294,0.276,4,-21.651,0,0.0508,0.946,0.782,0.0936,0.264,112.664,381933,3
0.677,0.885,1,-2.946,1,0.0658,0.00425,0.861,0.052,0.186,128.037,277500,4
0.628,0.767,6,-5.976,0,0.0368,0.0183,0.765,0.109,0.127,159.941,267000,4
0.39,0.642,8,-5.266,1,0.0326,0.00502,0.565,0.296,0.132,92.397,293293,4
0.705,0.51,8,-15.322,1,0.0428,0.323,0.0,0.094,0.894,125.468,217093,4
0.429,0.948,5,-3.657,0,0.227,0.00711,0.0148,0.0812,0.55,115.785,261517,3
0.497,0.727,6,-3.796,0,0.0412,0.00217,0.0428,0.124,0.191,73.978,280308,4
0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,311867,4
0.388,0.872,2,-2.622,0,0.0396,0.00274,2.41e-05,0.196,0.539,130.052,145333,4
0.593,0.509,4,-12.042,0,0.0626,0.107,0.893,0.277,0.0769,190.028,265250,4
0.435,0.456,6,-10.305,1,0.0279,0.136,1.62e-06,0.124,0.529,107.529,185440,4
0.362,0.569,7,-15.394,0,0.0345,0.876,0.91,0.327,0.746,148.692,173427,3
0.663,0.694,10,-8.627,0,0.172,0.0249,0.0,0.0698,0.524,167.964,340920,4
0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,225493,4
0.61,0.836,7,-6.428,0,0.089,0.123,0.0,0.164,0.329,110.025,270545,4
0.459,0.796,4,-5.226,0,0.132,0.0761,0.00908,0.0633,0.218,139.913,189973,4
0.747,0.782,8,-4.326,1,0.283,0.0223,0.0,0.0902,0.501,113.99,206316,4
0.394,0.581,11,-5.489,0,0.0397,0.318,0.0,0.112,0.0992,100.092,228939,3
0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,174000,4
0.7,0.546,5,-7.705,0,0.109,0.0131,0.0305,0.172,0.302,80.004,416000,4
0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,321147,4
0.482,0.745,7,-12.657,1,0.0542,0.337,0.897,0.102,0.405,169.982,115987,3
0.823,0.733,1,-5.474,1,0.0628,0.0349,0.0,0.324,0.397,97.972,284387,4
0.79,0.54,8,-6.959,1,0.183,0.0391,0.0,0.266,0.459,86.308,173160,4
0.736,0.677,4,-7.036,0,0.0352,0.00114,0.844,0.0949,0.0747,121.01,258387,4
0.864,0.62,5,-6.85,1,0.222,0.141,0.0,0.0882,0.693,95.946,308358,4
0.535,0.865,9,-5.144,0,0.0508,0.00962,0.0186,0.336,0.402,91.022,260933,4
0.844,0.759,9,-10.776,0,0.0762,0.0129,0.74,0.223,0.366,139.659,219429,4
0.556,0.819,9,-6.017,0,0.0714,0.00119,0.895,0.226,0.175,164.99,208000,4
0.634,0.615,2,-6.922,0,0.0343,0.00146,0.114,0.335,0.0349,140.014,248936,4
0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,478173,4
0.689,0.862,1,-3.781,1,0.0535,0.00788,1.47e-05,0.217,0.251,140.027,230002,4
0.723,0.695,9,-5.201,0,0.0586,0.0105,0.00355,0.0459,0.604,127.989,373627,4
0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788,267000,4
0.556,0.881,7,-2.224,1,0.082,0.00119,0.0,0.0709,0.337,104.973,213697,1
0.653,0.569,9,-7.917,0,0.0584,0.0582,0.0,0.099,0.491,121.936,239520,4
0.83,0.614,8,-9.114,1,0.209,0.376,0.000166,0.113,0.822,121.016,195373,4
0.586,0.775,0,-9.123,1,0.393,0.12,0.0,0.144,0.234,111.471,175680,4
0.417,0.54,8,-10.327,1,0.0545,0.133,0.0,0.161,0.263,127.01,238413,4
0.715,0.468,2,-7.664,0,0.147,0.0994,0.0,0.125,0.673,194.902,236373,3
