danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.674,0.584,0,-7.193,1,0.136,0.55,0.0,0.083,0.689,150.066,186480,4
0.736,0.608,6,-13.318,1,0.0469,0.271,0.91,0.116,0.485,127.024,299467,4
0.598,0.458,8,-11.134,1,0.051,0.642,0.0,0.0854,0.516,139.982,151066,4
0.515,0.563,11,-11.251,0,0.0411,0.0479,0.837,0.0664,0.0361,160.01,210522,4
0.346,0.35,2,-4.988,1,0.0328,0.876,1.98e-06,0.0708,0.315,126.444,229053,4
0.71,0.641,11,-5.0,0,0.1,0.46,0.536,0.123,0.206,93.04,170646,4
0.792,0.518,10,-9.63,0,0.0491,0.348,1.81e-05,0.103,0.526,100.004,215240,4
0.641,0.282,4,-10.778,0,0.041,0.926,0.0,0.117,0.529,143.939,228867,4
0.611,0.801,7,-4.435,0,0.0777,0.16,0.0,0.0942,0.233,171.906,180036,4
0.772,0.659,11,-5.218,0,0.335,0.0785,0.0,0.0834,0.536,147.149,193562,4
0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
0.781,0.619,7,-6.616,1,0.0882,0.22,0.0,0.112,0.391,82.954,224707,4
0.715,0.723,6,-5.993,0,0.0569,0.0396,8.57e-05,0.084,0.479,114.985,207160,4
0.54,0.711,7,-5.717,1,0.0255,0.103,0.0,0.0827,0.292,92.014,241000,4
0.71,0.518,0,-9.404,1,0.267,0.444,0.0,0.179,0.479,96.969,246267,4
0.533,0.645,10,-5.277,0,0.47,0.0269,0.0,0.206,0.833,200.723,214000,4
0.944,0.454,5,-10.192,1,0.0725,0.641,0.0,0.0927,0.826,132.005,206286,4
0.882,0.161,8,-9.385,0,0.0458,0.913,0.0,0.128,0.698,106.105,120166,4
0.81,0.797,10,-5.938,1,0.227,0.236,0.0,0.0941,0.91,99.048,219960,4
0.84,0.653,9,-6.212,0,0.252,0.535,0.0,0.0727,0.814,97.003,221520,4
0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911,4
